participant_id,task_id,seed_track_id,candidate_a_id,candidate_b_id,compatible_choice,discovery_choice,overall_choice,confidence,comment,saved_at
P10,HP011,great_britain_0062,germany_0003,germany_0011,B,B,B,4,b节奏更符合,2026-04-19T04:26:36.730Z
P10,HP005,germany_0092,great_britain_0018,great_britain_0007,A,A,A,4,,2026-04-19T04:27:59.955Z
P10,HP001,russia_0060,india_saraga_0054,india_saraga_0089,B,A,A,3,,2026-04-19T04:30:42.722Z
P10,HP007,indonesia_fma_0010,modern_english_pop_0014,modern_english_pop_0083,A,B,B,5,A更轻快,2026-04-19T04:32:37.563Z
P10,HP012,turkey_modern_0120,france_0025,france_0028,A,B,B,4,,2026-04-19T04:33:47.832Z
P10,HP009,france_0077,china_opencpop_0031,china_ctis_0043,Tie,B,B,3,ab都不着边际,2026-04-19T04:35:41.028Z
P10,HP006,france_0070,turkey_modern_0096,turkey_modern_0022,A,Tie,A,3,,2026-04-19T04:36:42.806Z
P10,HP003,china_jingju_0008,india_saraga_0083,india_saraga_0038,A,A,A,3,,2026-04-19T04:37:21.149Z
P10,HP002,india_saraga_0091,china_ctis_0007,china_ctis_0030,B,B,Tie,3,,2026-04-19T04:38:52.012Z
P10,HP004,china_jingju_0024,great_britain_0093,great_britain_0102,A,B,A,3,,2026-04-19T04:39:52.115Z
P10,HP008,italy_0009,modern_english_pop_0081,modern_english_pop_0044,A,B,Tie,4,,2026-04-19T04:40:55.713Z
P10,HP010,turkey_modern_0143,italy_0056,italy_0007,A,B,B,4,,2026-04-19T04:41:57.639Z
