participant_id,task_id,seed_track_id,candidate_a_id,candidate_b_id,compatible_choice,discovery_choice,overall_choice,confidence,comment,saved_at
P03,HP008,italy_0009,modern_english_pop_0044,modern_english_pop_0081,B,B,B,3,A的乐器不够清亮，太过低沉导致难以进入情绪流，B的乐器更明亮,2026-04-18T15:38:01.728Z
P03,HP001,russia_0060,india_saraga_0089,india_saraga_0054,A,B,A,3,,2026-04-18T15:38:57.806Z
P03,HP006,france_0070,turkey_modern_0022,turkey_modern_0096,B,A,B,3,,2026-04-18T15:40:10.228Z
P03,HP009,france_0077,china_ctis_0043,china_opencpop_0031,B,A,A,3,,2026-04-18T15:41:56.585Z
P03,HP003,china_jingju_0008,india_saraga_0038,india_saraga_0083,Tie,Tie,Tie,3,都不喜欢,2026-04-18T15:43:08.126Z
P03,HP007,indonesia_fma_0010,modern_english_pop_0083,modern_english_pop_0014,B,B,B,3,,2026-04-18T15:44:01.976Z
P03,HP011,great_britain_0062,germany_0011,germany_0003,A,B,B,3,候选比参考好听多了,2026-04-18T15:45:04.916Z
P03,HP012,turkey_modern_0120,france_0028,france_0025,B,A,A,3,,2026-04-18T15:46:02.329Z
P03,HP002,india_saraga_0091,china_ctis_0030,china_ctis_0007,A,B,B,3,,2026-04-18T15:46:31.879Z
P03,HP004,china_jingju_0024,great_britain_0102,great_britain_0093,A,B,B,3,,2026-04-18T15:48:20.472Z
P03,HP010,turkey_modern_0143,italy_0007,italy_0056,A,B,B,3,,2026-04-18T15:50:20.066Z
P03,HP005,germany_0092,great_britain_0007,great_britain_0018,B,A,B,3,,2026-04-18T15:52:14.961Z
