participant_id,task_id,seed_track_id,candidate_a_id,candidate_b_id,compatible_choice,discovery_choice,overall_choice,confidence,comment,saved_at
P06,HP005,germany_0092,great_britain_0018,great_britain_0007,A,B,A,3,,2026-04-18T17:19:43.719Z
P06,HP002,india_saraga_0091,china_ctis_0007,china_ctis_0030,A,B,A,3,,2026-04-18T17:21:10.253Z
P06,HP008,italy_0009,modern_english_pop_0081,modern_english_pop_0044,Tie,Tie,A,3,,2026-04-18T17:30:20.690Z
P06,HP010,turkey_modern_0143,italy_0056,italy_0007,B,A,B,3,,2026-04-18T17:33:38.749Z
P06,HP006,france_0070,turkey_modern_0096,turkey_modern_0022,Tie,B,A,3,,2026-04-18T17:34:43.699Z
P06,HP011,great_britain_0062,germany_0003,germany_0011,B,A,B,3,,2026-04-18T17:40:02.840Z
P06,HP003,china_jingju_0008,india_saraga_0083,india_saraga_0038,A,A,A,3,,2026-04-18T17:41:29.374Z
P06,HP012,turkey_modern_0120,france_0025,france_0028,A,B,B,3,,2026-04-18T17:42:09.172Z
P06,HP009,france_0077,china_opencpop_0031,china_ctis_0043,B,A,B,3,,2026-04-18T17:42:50.452Z
P06,HP007,indonesia_fma_0010,modern_english_pop_0014,modern_english_pop_0083,B,A,B,3,,2026-04-18T17:43:49.895Z
P06,HP004,china_jingju_0024,great_britain_0093,great_britain_0102,Tie,A,B,3,,2026-04-18T17:44:13.616Z
P06,HP001,russia_0060,india_saraga_0054,india_saraga_0089,A,Tie,B,3,,2026-04-18T17:44:55.492Z
