participant_id,task_id,seed_track_id,candidate_a_id,candidate_b_id,compatible_choice,discovery_choice,overall_choice,confidence,comment,saved_at
P02,HP012,turkey_modern_0120,france_0025,france_0028,Tie,B,B,2,,2026-04-19T02:24:51.721Z
P02,HP004,china_jingju_0024,great_britain_0093,great_britain_0102,A,B,A,3,,2026-04-19T02:28:56.707Z
P02,HP007,indonesia_fma_0010,modern_english_pop_0014,modern_english_pop_0083,B,B,A,4,,2026-04-19T02:30:11.906Z
P02,HP010,turkey_modern_0143,italy_0056,italy_0007,A,A,A,1,,2026-04-19T02:30:50.156Z
P02,HP009,france_0077,china_opencpop_0031,china_ctis_0043,B,B,B,4,,2026-04-19T02:31:40.158Z
P02,HP002,india_saraga_0091,china_ctis_0007,china_ctis_0030,A,A,A,2,,2026-04-19T02:32:28.185Z
P02,HP001,russia_0060,india_saraga_0054,india_saraga_0089,Tie,Tie,Tie,1,,2026-04-19T02:32:58.723Z
P02,HP003,china_jingju_0008,india_saraga_0083,india_saraga_0038,A,A,Tie,3,,2026-04-19T02:33:27.095Z
P02,HP008,italy_0009,modern_english_pop_0081,modern_english_pop_0044,Tie,A,Tie,2,,2026-04-19T02:33:53.855Z
P02,HP006,france_0070,turkey_modern_0096,turkey_modern_0022,A,B,B,2,,2026-04-19T02:34:25.689Z
P02,HP011,great_britain_0062,germany_0003,germany_0011,Tie,A,A,1,,2026-04-19T02:34:57.225Z
P02,HP005,germany_0092,great_britain_0018,great_britain_0007,A,A,A,3,,2026-04-19T02:35:30.681Z
