participant_id,task_id,seed_track_id,candidate_a_id,candidate_b_id,compatible_choice,discovery_choice,overall_choice,confidence,comment,saved_at
P07,HP012,turkey_modern_0120,france_0028,france_0025,A,B,B,3,B具有中神秘感,2026-04-18T17:04:08.926Z
P07,HP008,italy_0009,modern_english_pop_0044,modern_english_pop_0081,A,B,A,3,A像回忆的感觉，向回看，B更偏青春，向前看,2026-04-18T17:06:33.872Z
P07,HP003,china_jingju_0008,india_saraga_0038,india_saraga_0083,B,A,Tie,3,,2026-04-18T17:07:16.921Z
P07,HP010,turkey_modern_0143,italy_0007,italy_0056,B,A,A,3,,2026-04-18T17:08:37.404Z
P07,HP011,great_britain_0062,germany_0011,germany_0003,A,A,A,3,,2026-04-18T17:09:33.659Z
P07,HP001,russia_0060,india_saraga_0089,india_saraga_0054,B,B,B,3,,2026-04-18T17:11:12.034Z
P07,HP004,china_jingju_0024,great_britain_0102,great_britain_0093,A,A,A,3,A有对比感，像同一个时代不同地方，B太割裂了,2026-04-18T17:13:01.715Z
P07,HP009,france_0077,china_ctis_0043,china_opencpop_0031,B,B,B,4,,2026-04-18T17:15:07.546Z
P07,HP005,germany_0092,great_britain_0007,great_britain_0018,B,B,A,3,,2026-04-18T17:15:25.248Z
P07,HP007,indonesia_fma_0010,modern_english_pop_0083,modern_english_pop_0014,B,B,B,4,,2026-04-18T17:16:32.543Z
P07,HP006,france_0070,turkey_modern_0022,turkey_modern_0096,A,A,A,4,,2026-04-18T17:17:51.056Z
P07,HP002,india_saraga_0091,china_ctis_0030,china_ctis_0007,B,B,A,3,B和参考音乐给我一种生活不易感，但还努力活着；A感觉世道不行但快死了,2026-04-18T17:21:30.243Z
