participant_id,task_id,seed_track_id,candidate_a_id,candidate_b_id,compatible_choice,discovery_choice,overall_choice,confidence,comment,saved_at
P05,HP012,turkey_modern_0120,france_0028,france_0025,B,Tie,Tie,4,,2026-04-19T07:43:03.477Z
P05,HP003,china_jingju_0008,india_saraga_0038,india_saraga_0083,Tie,Tie,Tie,5,,2026-04-19T07:44:33.309Z
P05,HP005,germany_0092,great_britain_0007,great_britain_0018,B,A,A,4,,2026-04-19T07:45:30.896Z
P05,HP004,china_jingju_0024,great_britain_0102,great_britain_0093,B,B,B,4,,2026-04-19T07:47:17.849Z
P05,HP001,russia_0060,india_saraga_0089,india_saraga_0054,A,Tie,Tie,3,,2026-04-19T07:48:23.133Z
P05,HP008,italy_0009,modern_english_pop_0044,modern_english_pop_0081,Tie,Tie,B,4,,2026-04-19T07:50:13.425Z
P05,HP007,indonesia_fma_0010,modern_english_pop_0083,modern_english_pop_0014,Tie,Tie,B,4,,2026-04-19T07:51:10.876Z
P05,HP009,france_0077,china_ctis_0043,china_opencpop_0031,B,B,B,4,,2026-04-19T07:52:24.458Z
P05,HP002,india_saraga_0091,china_ctis_0030,china_ctis_0007,B,B,B,4,,2026-04-19T07:52:58.709Z
P05,HP010,turkey_modern_0143,italy_0007,italy_0056,Tie,Tie,Tie,4,,2026-04-19T07:53:36.421Z
P05,HP006,france_0070,turkey_modern_0022,turkey_modern_0096,B,B,Tie,4,,2026-04-19T07:54:00.116Z
P05,HP011,great_britain_0062,germany_0011,germany_0003,Tie,Tie,Tie,3,,2026-04-19T07:54:22.173Z
