track_id,culture,audio_path,source_dataset,source_split,source_index,duration_sec,sample_rate,channels,era,region,coarse_label,is_instrumental,fine_label,label,substyle,instrument,instrument_family,language,title,artist,license,license_note,url,recording_condition,notes,schema_version,dataset_version,import_batch,dedup_group_id,dedup_keep,qc_status,qc_notes,embedding_status_culturemert,embedding_status_gemini,drop_reason,cname,pinyin,name
sanchit-gandhi_gtzan_00000000,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000000.wav,sanchit-gandhi/gtzan,train,0,30.013333333333332,22050,1,,west,jazz_blues,0,blues,blues,,,,,,,,,,,,v4.0,v4_routeA_small_seed_from_public_2026-03-20,v4_routeA_small_seed_from_public_2026-03-20,sanchit-gandhi_gtzan_00000000,1,pending,,pending,pending,,,,
sanchit-gandhi_gtzan_00000001,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000001.wav,sanchit-gandhi/gtzan,train,1,30.013333333333332,22050,1,,west,jazz_blues,0,blues,blues,,,,,,,,,,,,v4.0,v4_routeA_small_seed_from_public_2026-03-20,v4_routeA_small_seed_from_public_2026-03-20,sanchit-gandhi_gtzan_00000001,1,pending,,pending,pending,,,,
sanchit-gandhi_gtzan_00000002,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000002.wav,sanchit-gandhi/gtzan,train,2,30.013333333333332,22050,1,,west,jazz_blues,0,blues,blues,,,,,,,,,,,,v4.0,v4_routeA_small_seed_from_public_2026-03-20,v4_routeA_small_seed_from_public_2026-03-20,sanchit-gandhi_gtzan_00000002,1,pending,,pending,pending,,,,
sanchit-gandhi_gtzan_00000003,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000003.wav,sanchit-gandhi/gtzan,train,3,30.013333333333332,22050,1,,west,jazz_blues,0,blues,blues,,,,,,,,,,,,v4.0,v4_routeA_small_seed_from_public_2026-03-20,v4_routeA_small_seed_from_public_2026-03-20,sanchit-gandhi_gtzan_00000003,1,pending,,pending,pending,,,,
sanchit-gandhi_gtzan_00000004,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000004.wav,sanchit-gandhi/gtzan,train,4,30.013333333333332,22050,1,,west,jazz_blues,0,blues,blues,,,,,,,,,,,,v4.0,v4_routeA_small_seed_from_public_2026-03-20,v4_routeA_small_seed_from_public_2026-03-20,sanchit-gandhi_gtzan_00000004,1,pending,,pending,pending,,,,
sanchit-gandhi_gtzan_00000005,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000005.wav,sanchit-gandhi/gtzan,train,5,30.013333333333332,22050,1,,west,jazz_blues,0,blues,blues,,,,,,,,,,,,v4.0,v4_routeA_small_seed_from_public_2026-03-20,v4_routeA_small_seed_from_public_2026-03-20,sanchit-gandhi_gtzan_00000005,1,pending,,pending,pending,,,,
sanchit-gandhi_gtzan_00000006,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000006.wav,sanchit-gandhi/gtzan,train,6,30.013333333333332,22050,1,,west,jazz_blues,0,blues,blues,,,,,,,,,,,,v4.0,v4_routeA_small_seed_from_public_2026-03-20,v4_routeA_small_seed_from_public_2026-03-20,sanchit-gandhi_gtzan_00000006,1,pending,,pending,pending,,,,
sanchit-gandhi_gtzan_00000007,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000007.wav,sanchit-gandhi/gtzan,train,7,30.013333333333332,22050,1,,west,jazz_blues,0,blues,blues,,,,,,,,,,,,v4.0,v4_routeA_small_seed_from_public_2026-03-20,v4_routeA_small_seed_from_public_2026-03-20,sanchit-gandhi_gtzan_00000007,1,pending,,pending,pending,,,,
sanchit-gandhi_gtzan_00000008,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000008.wav,sanchit-gandhi/gtzan,train,8,30.013333333333332,22050,1,,west,jazz_blues,0,blues,blues,,,,,,,,,,,,v4.0,v4_routeA_small_seed_from_public_2026-03-20,v4_routeA_small_seed_from_public_2026-03-20,sanchit-gandhi_gtzan_00000008,1,pending,,pending,pending,,,,
sanchit-gandhi_gtzan_00000009,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000009.wav,sanchit-gandhi/gtzan,train,9,30.013333333333332,22050,1,,west,jazz_blues,0,blues,blues,,,,,,,,,,,,v4.0,v4_routeA_small_seed_from_public_2026-03-20,v4_routeA_small_seed_from_public_2026-03-20,sanchit-gandhi_gtzan_00000009,1,pending,,pending,pending,,,,
