id,guid,title,country,data_provider,type,shown_at,shown_by,rights,preview_no_distribute,has_audio_proxy,has_landing_page,open_rights_heuristic
/2023846/medienarchiv_web_detailansicht_id_180038,https://www.europeana.eu/item/2023846/medienarchiv_web_detailansicht_id_180038?utm_source=api&utm_medium=api&utm_campaign=api2demo,Marsch und Volkstänze aus Geseke; Marsch und Volkstänze aus Geseke; March and folk dances from Geseke; march and folk dances from Geseke,Germany,Westphalian Folk Song and Sound Archive,SOUND,http://www.lwl.org/medienarchiv_web/detailansicht?id=180038,http://www.lwl.org/330-download/daten/Tonaufnahmen/Tonbaender/Teile/m094-1_2.mp3,http://creativecommons.org/licenses/by-nc-sa/3.0/,False,True,True,False
/2023846/medienarchiv_web_detailansicht_id_182137,https://www.europeana.eu/item/2023846/medienarchiv_web_detailansicht_id_182137?utm_source=api&utm_medium=api&utm_campaign=api2demo,"Kling, klang, gloria; Kling, sound, gloria",Germany,Westphalian Folk Song and Sound Archive,SOUND,http://www.lwl.org/medienarchiv_web/detailansicht?id=182137,http://www.lwl.org/medienarchiv_web/liederblaetter?id=182137,http://creativecommons.org/licenses/by-nc-sa/3.0/,False,True,True,False
/2023846/medienarchiv_web_detailansicht_id_181193,https://www.europeana.eu/item/2023846/medienarchiv_web_detailansicht_id_181193?utm_source=api&utm_medium=api&utm_campaign=api2demo,Evening bells sound; Die Abendglocken klingen,Germany,Westphalian Folk Song and Sound Archive,SOUND,http://www.lwl.org/medienarchiv_web/detailansicht?id=181193,http://www.lwl.org/medienarchiv_web/liederblaetter?id=181193,http://creativecommons.org/licenses/by-nc-sa/3.0/,False,True,True,False
/2023846/medienarchiv_web_detailansicht_id_181151,https://www.europeana.eu/item/2023846/medienarchiv_web_detailansicht_id_181151?utm_source=api&utm_medium=api&utm_campaign=api2demo,Dance Song; Tanzlied,Germany,Westphalian Folk Song and Sound Archive,SOUND,http://www.lwl.org/medienarchiv_web/detailansicht?id=181151,http://www.lwl.org/medienarchiv_web/liederblaetter?id=181151,http://creativecommons.org/licenses/by-nc-sa/3.0/,False,True,True,False
/2023846/medienarchiv_web_detailansicht_id_183280,https://www.europeana.eu/item/2023846/medienarchiv_web_detailansicht_id_183280?utm_source=api&utm_medium=api&utm_campaign=api2demo,Leise tönen Abschiedsglocken; Quietly sound farewell bells,Germany,Westphalian Folk Song and Sound Archive,SOUND,http://www.lwl.org/medienarchiv_web/detailansicht?id=183280,http://www.lwl.org/medienarchiv_web/liederblaetter?id=183280,http://creativecommons.org/licenses/by-nc-sa/3.0/,False,True,True,False
/2023846/medienarchiv_web_detailansicht_id_177092,https://www.europeana.eu/item/2023846/medienarchiv_web_detailansicht_id_177092?utm_source=api&utm_medium=api&utm_campaign=api2demo,In süßem Jubelschall; In a sweet jubilee sound,Germany,Westphalian Folk Song and Sound Archive,SOUND,http://www.lwl.org/medienarchiv_web/detailansicht?id=177092,http://www.lwl.org/medienarchiv_web/liederblaetter?id=177092,http://creativecommons.org/licenses/by-nc-sa/3.0/,False,True,True,False
/2023846/medienarchiv_web_detailansicht_id_166767,https://www.europeana.eu/item/2023846/medienarchiv_web_detailansicht_id_166767?utm_source=api&utm_medium=api&utm_campaign=api2demo,spinning song; Spinnlied,Germany,Westphalian Folk Song and Sound Archive,SOUND,http://www.lwl.org/medienarchiv_web/detailansicht?id=166767,http://www.lwl.org/medienarchiv_web/liederblaetter?id=166767,http://creativecommons.org/licenses/by-nc-sa/3.0/,False,True,True,False
/2023846/medienarchiv_web_detailansicht_id_166838,https://www.europeana.eu/item/2023846/medienarchiv_web_detailansicht_id_166838?utm_source=api&utm_medium=api&utm_campaign=api2demo,Nozzle sound in di; Dütt schall in di,Germany,Westphalian Folk Song and Sound Archive,SOUND,http://www.lwl.org/medienarchiv_web/detailansicht?id=166838,http://www.lwl.org/medienarchiv_web/liederblaetter?id=166838,http://creativecommons.org/licenses/by-nc-sa/3.0/,False,True,True,False
/2023846/medienarchiv_web_detailansicht_id_175387,https://www.europeana.eu/item/2023846/medienarchiv_web_detailansicht_id_175387?utm_source=api&utm_medium=api&utm_campaign=api2demo,Mitfastenlied; Journey Song,Germany,Westphalian Folk Song and Sound Archive,SOUND,http://www.lwl.org/medienarchiv_web/detailansicht?id=175387,http://www.lwl.org/medienarchiv_web/liederblaetter?id=175387,http://creativecommons.org/licenses/by-nc-sa/3.0/,False,True,True,False
/2023846/medienarchiv_web_detailansicht_id_169269,https://www.europeana.eu/item/2023846/medienarchiv_web_detailansicht_id_169269?utm_source=api&utm_medium=api&utm_campaign=api2demo,Lasst den bayrischen Bimbam erschallen; Let the Bavarian bimbam sound,Germany,Westphalian Folk Song and Sound Archive,SOUND,http://www.lwl.org/medienarchiv_web/detailansicht?id=169269,http://www.lwl.org/medienarchiv_web/liederblaetter?id=169269,http://creativecommons.org/licenses/by-nc-sa/3.0/,False,True,True,False
