track_id,culture,audio_path,source_dataset,source_split,source_index,label,title,language,duration
rtrk_kazakh-traditional-audio_00000000,kazakhstan,audio/rtrk_kazakh-traditional-audio_00000000.wav,rtrk/kazakh-traditional-audio,repo_archive,0,kui,Байжұма,kk,151.4
rtrk_kazakh-traditional-audio_00000001,kazakhstan,audio/rtrk_kazakh-traditional-audio_00000001.wav,rtrk/kazakh-traditional-audio,repo_archive,1,kui,Абыл,kk,177.0
rtrk_kazakh-traditional-audio_00000002,kazakhstan,audio/rtrk_kazakh-traditional-audio_00000002.wav,rtrk/kazakh-traditional-audio,repo_archive,2,kui,Ақжелең,kk,88.9
rtrk_kazakh-traditional-audio_00000003,kazakhstan,audio/rtrk_kazakh-traditional-audio_00000003.wav,rtrk/kazakh-traditional-audio,repo_archive,3,kui,Ақшолпан,kk,157.9
rtrk_kazakh-traditional-audio_00000004,kazakhstan,audio/rtrk_kazakh-traditional-audio_00000004.wav,rtrk/kazakh-traditional-audio,repo_archive,4,kui,Жігер,kk,224.1
rtrk_kazakh-traditional-audio_00000005,kazakhstan,audio/rtrk_kazakh-traditional-audio_00000005.wav,rtrk/kazakh-traditional-audio,repo_archive,5,kui,Ақжібек,kk,165.1
rtrk_kazakh-traditional-audio_00000006,kazakhstan,audio/rtrk_kazakh-traditional-audio_00000006.wav,rtrk/kazakh-traditional-audio,repo_archive,6,kui,Көгентүп,kk,129.2
rtrk_kazakh-traditional-audio_00000007,kazakhstan,audio/rtrk_kazakh-traditional-audio_00000007.wav,rtrk/kazakh-traditional-audio,repo_archive,7,kui,Қара жорға,kk,95.8
rtrk_kazakh-traditional-audio_00000008,kazakhstan,audio/rtrk_kazakh-traditional-audio_00000008.wav,rtrk/kazakh-traditional-audio,repo_archive,8,kui,Боз Шолақ,kk,271.4
rtrk_kazakh-traditional-audio_00000009,kazakhstan,audio/rtrk_kazakh-traditional-audio_00000009.wav,rtrk/kazakh-traditional-audio,repo_archive,9,kui,Бұлбұл,kk,149.6
rtrk_kazakh-traditional-audio_00000010,kazakhstan,audio/rtrk_kazakh-traditional-audio_00000010.wav,rtrk/kazakh-traditional-audio,repo_archive,10,kui,Домалатпай,kk,281.8
rtrk_kazakh-traditional-audio_00000011,kazakhstan,audio/rtrk_kazakh-traditional-audio_00000011.wav,rtrk/kazakh-traditional-audio,repo_archive,11,kui,Былқылдақ,kk,58.6
rtrk_kazakh-traditional-audio_00000012,kazakhstan,audio/rtrk_kazakh-traditional-audio_00000012.wav,rtrk/kazakh-traditional-audio,repo_archive,12,kui,Дайрабай,kk,135.3
