suite,metric,DCAS,最佳基线,增益
"V2
CultureMERT",惊喜度,0.8379375279818566,0.7242404753717118,0.11369705261014484
"V2
CultureMERT",文化校准KL,0.8052499554297576,1.3420654625942605,-0.5368155071645029
"V2
CultureMERT",少数群体曝光率@k,0.3406666666666667,0.35075,-0.010083333333333333
"V3
CultureMERT",惊喜度,0.8136768707955625,0.7685017015674156,0.045175169228146905
"V3
CultureMERT",文化校准KL,2.058420728654023,2.1876564441025432,-0.12923571544852042
"V3
CultureMERT",少数群体曝光率@k,0.4027291666666667,0.41089583333333335,-0.008166666666666655
"V4
CultureMERT",惊喜度,0.8578608207929557,0.6445218086156944,0.21333901217726126
"V4
CultureMERT",文化校准KL,2.082580737495161,2.234130475144749,-0.1515497376495878
"V4
CultureMERT",少数群体曝光率@k,0.5302708333333334,0.29433333333333334,0.23593750000000002
"V4
Gemini",惊喜度,0.8542503418559114,0.8542488298438041,1.5120121072964565e-06
"V4
Gemini",文化校准KL,2.32504313200185,2.33376265270097,-0.008719520699119965
"V4
Gemini",少数群体曝光率@k,0.4799583333333333,0.30254166666666665,0.17741666666666667
