track_id,culture,audio_path,source_dataset,source_split,source_index,label,title,rights,source_url
2023846_medienarchiv_web_detailansicht_id_180714,germany,audio\2023846_medienarchiv_web_detailansicht_id_180714.mp3,europeana_search,search,5,,This song welcomes you to a new wedding party; songs and customs in the annual run,http://creativecommons.org/licenses/by-nc-sa/3.0/,https://www.europeana.eu/item/2023846/medienarchiv_web_detailansicht_id_180714?utm_source=api&utm_medium=api&utm_campaign=api2demo
2023846_medienarchiv_web_detailansicht_id_168955,germany,audio\2023846_medienarchiv_web_detailansicht_id_168955.mp3,europeana_search,search,28,,"Savior, Burlinghew’s Savior; customs, songs and reports from everyday life",http://creativecommons.org/licenses/by-nc-sa/3.0/,https://www.europeana.eu/item/2023846/medienarchiv_web_detailansicht_id_168955?utm_source=api&utm_medium=api&utm_campaign=api2demo
2023846_medienarchiv_web_detailansicht_id_174910,germany,audio\2023846_medienarchiv_web_detailansicht_id_174910.mp3,europeana_search,search,29,,"""Als ich noch jung war"", ""Alte-Weiber-Miserere""; Tonbandbrief von Karl Berkenkopf, Meschede",http://creativecommons.org/licenses/by-nc-sa/3.0/,https://www.europeana.eu/item/2023846/medienarchiv_web_detailansicht_id_174910?utm_source=api&utm_medium=api&utm_campaign=api2demo
2023846_medienarchiv_web_detailansicht_id_170840,germany,audio\2023846_medienarchiv_web_detailansicht_id_170840.mp3,europeana_search,search,32,,Lasset auf den Bergen; Handschriftliches Liederbuch Nr. 35 - Kinderlieder aus Lauenförde,http://creativecommons.org/licenses/by-nc-sa/3.0/,https://www.europeana.eu/item/2023846/medienarchiv_web_detailansicht_id_170840?utm_source=api&utm_medium=api&utm_campaign=api2demo
2023846_medienarchiv_web_detailansicht_id_176342,germany,audio\2023846_medienarchiv_web_detailansicht_id_176342.mp3,europeana_search,search,34,,"Das Lieben bringt groß Freud; Handschriftliches Liederbuch Nr. 24 - Theodor Große-Venhaus, Lieder und Gespräche (Gesamtaufnahme)",http://creativecommons.org/licenses/by-nc-sa/3.0/,https://www.europeana.eu/item/2023846/medienarchiv_web_detailansicht_id_176342?utm_source=api&utm_medium=api&utm_campaign=api2demo
2023846_medienarchiv_web_detailansicht_id_178208,germany,audio\2023846_medienarchiv_web_detailansicht_id_178208.mp3,europeana_search,search,36,,Oben im Duorpe; Brauchbeschreibungen und Lieder von W. Arndts,http://creativecommons.org/licenses/by-nc-sa/3.0/,https://www.europeana.eu/item/2023846/medienarchiv_web_detailansicht_id_178208?utm_source=api&utm_medium=api&utm_campaign=api2demo
2023846_medienarchiv_web_detailansicht_id_176344,germany,audio\2023846_medienarchiv_web_detailansicht_id_176344.mp3,europeana_search,search,42,,"Ich habe mir eines erwählet; Handschriftliches Liederbuch Nr. 24 - Theodor Große-Venhaus, Lieder und Gespräche (Gesamtaufnahme)",http://creativecommons.org/licenses/by-nc-sa/3.0/,https://www.europeana.eu/item/2023846/medienarchiv_web_detailansicht_id_176344?utm_source=api&utm_medium=api&utm_campaign=api2demo
2023846_medienarchiv_web_detailansicht_id_174750,germany,audio\2023846_medienarchiv_web_detailansicht_id_174750.mp3,europeana_search,search,50,,"Schrumm, ein neues Damenlied; Gespräch über das Thema Fastnacht (auf Basis von Frageliste 11)",http://creativecommons.org/licenses/by-nc-sa/3.0/,https://www.europeana.eu/item/2023846/medienarchiv_web_detailansicht_id_174750?utm_source=api&utm_medium=api&utm_campaign=api2demo
2023846_medienarchiv_web_detailansicht_id_180270,germany,audio\2023846_medienarchiv_web_detailansicht_id_180270.mp3,europeana_search,search,63,,I mentioned one thing; Volkstümliche Songs of the West Münsterland,http://creativecommons.org/licenses/by-nc-sa/3.0/,https://www.europeana.eu/item/2023846/medienarchiv_web_detailansicht_id_180270?utm_source=api&utm_medium=api&utm_campaign=api2demo
2023846_medienarchiv_web_detailansicht_id_172614,germany,audio\2023846_medienarchiv_web_detailansicht_id_172614.mp3,europeana_search,search,73,,"Seht, man führt im weißen Schleier eine Jungfrau zum Altar; Moritaten, gesungen von Ernst Becker, Berlin",http://creativecommons.org/licenses/by-nc-sa/3.0/,https://www.europeana.eu/item/2023846/medienarchiv_web_detailansicht_id_172614?utm_source=api&utm_medium=api&utm_campaign=api2demo
2023846_medienarchiv_web_detailansicht_id_166852,germany,audio\2023846_medienarchiv_web_detailansicht_id_166852.mp3,europeana_search,search,76,,There was a linden in the deep valley; songs of the cigar workers - songs from the cigar factory Kirchlengern/Herford,http://creativecommons.org/licenses/by-nc-sa/3.0/,https://www.europeana.eu/item/2023846/medienarchiv_web_detailansicht_id_166852?utm_source=api&utm_medium=api&utm_campaign=api2demo
